,Weights,,,,,0.75,1.00,0.50,0.50,0.55,0.00,0.35,-0.20,,,,-0.15,-0.75,1,
,,Pre Game,,,Auto,,,,Teleop,,,,Endgame,,,,Other,,,
Date Time,Time Stamp,Match Number,Team Number,Alliance Colour,Line,Switch,Scale,Exchange,Home Switch,Opponent Switch,Scale,Exchange,Climb Attempted,Climb Succeeded,Park,Support Other Robots,Fouls,Tech fouls,Navigation,OA Quality
11/03/2018 9:56 AM,1395586284123,9,6336,red,1,1,0,0,5,0,0,1,1,0,0,0,0,0,1,1
11/03/2018 9:56 AM,1395588454463,9,1360,blue,1,2,0,0,2,1,3,0,0,0,0,0,0,0,1,2
11/03/2018 9:57 AM,1395588522962,9,3683,blue,1,1,0,0,0,6,0,0,1,0,1,0,0,0,3,3
11/03/2018 10:07 AM,1395589140209,10,6378,blue,1,1,0,0,3,0,0,6,0,0,0,0,0,0,3,3
11/03/2018 10:08 AM,1395589184910,10,2056,blue,1,0,0,0,0,1,5,0,1,0,1,0,0,0,3,3
11/03/2018 10:08 AM,1395587048330,10,6342,red,1,0,0,0,1,0,0,5,0,0,0,0,0,0,3,3
11/03/2018 10:08 AM,1395587261122,10,6342,red,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
11/03/2018 10:16 AM,1395329433377,11,7475,blue,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1
11/03/2018 10:16 AM,1395589643897,11,1114,blue,1,0,0,0,1,0,8,0,1,1,0,1,0,0,3,2
11/03/2018 10:17 AM,1395587574534,11,6878,red,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,2
11/03/2018 10:17 AM,1395587909841,11,1350,red,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1
11/03/2018 10:18 AM,1395589839990,11,2852,blue,1,0,0,0,1,0,3,0,0,0,1,0,0,0,2,1
11/03/2018 10:21 AM,1395329784431,12,2702,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11/03/2018 10:21 AM,1395329784431,12,2702,blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11/03/2018 10:27 AM,1395590284803,12,3161,blue,1,0,0,0,1,0,0,4,1,1,0,0,0,0,2,3
11/03/2018 10:27 AM,1395590360746,12,865,blue,1,0,1,0,0,0,3,1,1,0,0,0,0,0,1,2
11/03/2018 10:28 AM,1395590284803,12,3161,blue,1,0,0,0,1,0,0,4,1,1,0,0,0,0,2,3
11/03/2018 10:28 AM,1395588517378,12,1075,red,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
11/03/2018 10:28 AM,1395588187443,12,5719,red,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1
11/03/2018 10:36 AM,1395590918487,13,4343,blue,1,0,0,0,3,0,0,0,1,1,0,0,0,0,1,2
11/03/2018 10:36 AM,1395330641696,13,2604,blue,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1
11/03/2018 10:37 AM,1395590736399,13,6342,blue,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2
11/03/2018 10:37 AM,1395588673537,13,3739,red,1,0,0,0,4,0,0,0,1,0,0,0,0,0,1,1
11/03/2018 10:41 AM,1395591150205,14,2609,blue,1,2,0,0,3,0,0,4,0,0,0,0,0,0,2,1
11/03/2018 10:41 AM,1395330963844,14,2852,blue,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2
11/03/2018 10:42 AM,1395589060076,14, ,red,1,1,0,0,4,0,3,0,1,1,0,1,0,0,3,3
11/03/2018 10:42 AM,1395591355892,14,7509,blue,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
